Service Prefix,Action,Combined
account,CloseAccount,account:CloseAccount
account,DeleteAlternateContact,account:DeleteAlternateContact
account,DisableRegion,account:DisableRegion
account,EnableRegion,account:EnableRegion
account,GetAccountInformation,account:GetAccountInformation
account,GetAlternateContact,account:GetAlternateContact
account,GetChallengeQuestions,account:GetChallengeQuestions
account,GetContactInformation,account:GetContactInformation
account,GetRegionOptStatus,account:GetRegionOptStatus
account,ListRegions,account:ListRegions
account,PutAlternateContact,account:PutAlternateContact
account,PutChallengeQuestions,account:PutChallengeQuestions
account,PutContactInformation,account:PutContactInformation
activate,CreateForm,activate:CreateForm
activate,GetAccountContact,activate:GetAccountContact
activate,GetContentInfo,activate:GetContentInfo
activate,GetCosts,activate:GetCosts
activate,GetCredits,activate:GetCredits
activate,GetMemberInfo,activate:GetMemberInfo
activate,GetProgram,activate:GetProgram
activate,PutMemberInfo,activate:PutMemberInfo
a4b,ApproveSkill,a4b:ApproveSkill
a4b,AssociateContactWithAddressBook,a4b:AssociateContactWithAddressBook
a4b,AssociateDeviceWithNetworkProfile,a4b:AssociateDeviceWithNetworkProfile
a4b,AssociateDeviceWithRoom,a4b:AssociateDeviceWithRoom
a4b,AssociateSkillGroupWithRoom,a4b:AssociateSkillGroupWithRoom
a4b,AssociateSkillWithSkillGroup,a4b:AssociateSkillWithSkillGroup
a4b,AssociateSkillWithUsers,a4b:AssociateSkillWithUsers
a4b,CompleteRegistration,a4b:CompleteRegistration
a4b,CreateAddressBook,a4b:CreateAddressBook
a4b,CreateBusinessReportSchedule,a4b:CreateBusinessReportSchedule
a4b,CreateConferenceProvider,a4b:CreateConferenceProvider
a4b,CreateContact,a4b:CreateContact
a4b,CreateGatewayGroup,a4b:CreateGatewayGroup
a4b,CreateNetworkProfile,a4b:CreateNetworkProfile
a4b,CreateProfile,a4b:CreateProfile
a4b,CreateRoom,a4b:CreateRoom
a4b,CreateSkillGroup,a4b:CreateSkillGroup
a4b,CreateUser,a4b:CreateUser
a4b,DeleteAddressBook,a4b:DeleteAddressBook
a4b,DeleteBusinessReportSchedule,a4b:DeleteBusinessReportSchedule
a4b,DeleteConferenceProvider,a4b:DeleteConferenceProvider
a4b,DeleteContact,a4b:DeleteContact
a4b,DeleteDevice,a4b:DeleteDevice
a4b,DeleteDeviceUsageData,a4b:DeleteDeviceUsageData
a4b,DeleteGatewayGroup,a4b:DeleteGatewayGroup
a4b,DeleteNetworkProfile,a4b:DeleteNetworkProfile
a4b,DeleteProfile,a4b:DeleteProfile
a4b,DeleteRoom,a4b:DeleteRoom
a4b,DeleteRoomSkillParameter,a4b:DeleteRoomSkillParameter
a4b,DeleteSkillAuthorization,a4b:DeleteSkillAuthorization
a4b,DeleteSkillGroup,a4b:DeleteSkillGroup
a4b,DeleteUser,a4b:DeleteUser
a4b,DisassociateContactFromAddressBook,a4b:DisassociateContactFromAddressBook
a4b,DisassociateDeviceFromRoom,a4b:DisassociateDeviceFromRoom
a4b,DisassociateSkillFromSkillGroup,a4b:DisassociateSkillFromSkillGroup
a4b,DisassociateSkillFromUsers,a4b:DisassociateSkillFromUsers
a4b,DisassociateSkillGroupFromRoom,a4b:DisassociateSkillGroupFromRoom
a4b,ForgetSmartHomeAppliances,a4b:ForgetSmartHomeAppliances
a4b,GetAddressBook,a4b:GetAddressBook
a4b,GetConferencePreference,a4b:GetConferencePreference
a4b,GetConferenceProvider,a4b:GetConferenceProvider
a4b,GetContact,a4b:GetContact
a4b,GetDevice,a4b:GetDevice
a4b,GetGateway,a4b:GetGateway
a4b,GetGatewayGroup,a4b:GetGatewayGroup
a4b,GetInvitationConfiguration,a4b:GetInvitationConfiguration
a4b,GetNetworkProfile,a4b:GetNetworkProfile
a4b,GetProfile,a4b:GetProfile
a4b,GetRoom,a4b:GetRoom
